GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simple-registration-example,org.fis.project,Main,86,0,2,0,27,0,8,0,7,0
simple-registration-example,org.fis.project.exceptions,ConfirmPasswordException,19,0,0,0,6,0,3,0,3,0
simple-registration-example,org.fis.project.exceptions,CompleteLoginDataException,7,0,0,0,2,0,1,0,1,0
simple-registration-example,org.fis.project.exceptions,CompleteAllFieldsException,7,0,0,0,2,0,1,0,1,0
simple-registration-example,org.fis.project.exceptions,PasswordNotLongEnough,7,0,0,0,2,0,1,0,1,0
simple-registration-example,org.fis.project.exceptions,UsernameAlreadyExistsException,17,0,0,0,4,0,2,0,2,0
simple-registration-example,org.fis.project.exceptions,UserNameNotLongEnough,7,0,0,0,2,0,1,0,1,0
simple-registration-example,org.fis.project.controllers,TeacherSubjectsController,347,0,2,0,80,0,14,0,13,0
simple-registration-example,org.fis.project.controllers,LogInController,116,0,4,0,30,0,6,0,4,0
simple-registration-example,org.fis.project.controllers,StudentCheckMaterialsController,14,0,0,0,5,0,2,0,2,0
simple-registration-example,org.fis.project.controllers,RegistrationController,121,0,0,0,27,0,4,0,4,0
simple-registration-example,org.fis.project.controllers,StudentController,333,0,2,0,65,0,9,0,8,0
simple-registration-example,org.fis.project.controllers,TeacherController,117,0,2,0,26,0,8,0,7,0
simple-registration-example,org.fis.project.controllers,StudentInformationViewController,45,0,0,0,17,0,6,0,6,0
simple-registration-example,org.fis.project.controllers,TeacherAddHomeworkController,88,0,0,0,24,0,5,0,5,0
simple-registration-example,org.fis.project.controllers,TeacherAddMaterialsController,23,0,0,0,7,0,3,0,3,0
simple-registration-example,org.fis.project.controllers,TeacherStudentViewController,104,0,0,0,29,0,11,0,11,0
simple-registration-example,org.fis.project.model,User,166,0,28,0,38,0,30,0,16,0
simple-registration-example,org.fis.project.model,Catalog,92,0,0,0,39,0,21,0,21,0
simple-registration-example,org.fis.project.model,StudentTable,40,0,0,0,11,0,6,0,6,0
simple-registration-example,org.fis.project.model,SubjectInformation,23,0,0,0,7,0,4,0,4,0
simple-registration-example,org.fis.project.model,TeacherSubjects,23,0,0,0,7,0,4,0,4,0
simple-registration-example,org.fis.project.services,FileSystemService,22,0,0,0,4,0,3,0,3,0
simple-registration-example,org.fis.project.services,UserService,288,0,42,0,60,0,35,0,14,0
simple-registration-example,org.fis.project.services,CatalogService,663,0,146,0,120,0,95,0,22,0
